# Spin-echo spectrometer data file
# Start Time 6:31:3 8/8/2024

# System Status at:  6:31:3 8/8/2024
sample description: Ni(111)
comment:  
nozzle pressure: unused
nozzle temperature: +00.000
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  2.7400E-09
crystal temperature: 5.30
manipulator desired alpha: 75.000000
manipulator desired beta: 2.332700
manipulator desired gamma: 25.285000
specular ga: 25.284984
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.60651
Psourse 7.93378e-05
p303 0.109707
p3053 0.005069
wika1 0.020707
wika2 0.173412
wika3 -0.255327
comp 0.042801

1.669722e-09 -3.800000e-02 -3.800000e-02 -8.533731e-04
1.678829e-09 -3.733333e-02 -3.733333e-02 -8.533731e-04
1.661399e-09 -3.666667e-02 -3.666667e-02 -8.533731e-04
1.672489e-09 -3.600000e-02 -3.600000e-02 -8.533731e-04
1.672649e-09 -3.533333e-02 -3.533333e-02 -8.533731e-04
1.665517e-09 -3.466667e-02 -3.466667e-02 -8.533731e-04
1.667467e-09 -3.400000e-02 -3.400000e-02 -8.533731e-04
1.669664e-09 -3.333333e-02 -3.333333e-02 -8.533731e-04
1.653792e-09 -3.266667e-02 -3.266667e-02 -8.533731e-04
1.672154e-09 -3.200000e-02 -3.200000e-02 -8.533731e-04
1.662378e-09 -3.133333e-02 -3.133333e-02 -8.533731e-04
1.658499e-09 -3.066667e-02 -3.066667e-02 -8.533731e-04
1.651868e-09 -3.000000e-02 -3.000000e-02 -8.533731e-04
1.666522e-09 -2.933333e-02 -2.933333e-02 -8.533731e-04
1.661753e-09 -2.866667e-02 -2.866667e-02 -8.533731e-04
1.680540e-09 -2.800000e-02 -2.800000e-02 -8.533731e-04
1.665887e-09 -2.733333e-02 -2.733333e-02 -8.533731e-04
1.663105e-09 -2.666667e-02 -2.666667e-02 -8.533731e-04
1.667385e-09 -2.600000e-02 -2.600000e-02 -8.533731e-04
1.681148e-09 -2.533333e-02 -2.533333e-02 -8.533731e-04
1.667215e-09 -2.466667e-02 -2.466667e-02 -8.533731e-04
1.658441e-09 -2.400000e-02 -2.400000e-02 -8.533731e-04
1.671426e-09 -2.333333e-02 -2.333333e-02 -8.533731e-04
1.666064e-09 -2.266667e-02 -2.266667e-02 -8.533731e-04
1.667882e-09 -2.200000e-02 -2.200000e-02 -8.533731e-04
1.665365e-09 -2.133333e-02 -2.133333e-02 -8.533731e-04
1.659759e-09 -2.066667e-02 -2.066667e-02 -8.533731e-04
